time (seconds),Light
134.787,128
135.39,88
137.63,97
140.2,33
141.581,128
142.222,134
142.845,155
143.509,155
144.126,155
144.75,128
145.367,100
145.984,90
146.602,90
147.218,70
147.836,128
148.459,128
149.076,128
149.693,128
