time (seconds),Light
134.787,128
135.39,128
137.63,128
140.2,128
141.581,128
142.222,128
142.845,128
143.509,128
144.126,128
144.75,128
145.367,128
145.984,128
146.602,128
147.218,128
147.836,128
148.459,128
149.076,128
149.693,128
