Temperature_min,Temperature_max,Temperature_mean,Average mood
20.0,25.0,21.433333333333334,8
20.0,25.0,21.433333333333334,7.67
20.0,25.0,21.433333333333334,4
20.0,25.0,21.433333333333334,5
20.0,25.0,21.433333333333334,8.67
20.0,25.0,21.433333333333334,6.67
20.0,25.0,21.433333333333334,3.67
20.0,25.0,21.433333333333334,7
20.0,25.0,21.433333333333334,6
20.0,25.0,21.433333333333334,8
20.0,25.0,21.433333333333334,5
20.0,25.0,21.433333333333334,7.67
